Série;Nota Fiscal;Filial Origem
12;491831;973
12;491832;973
12;491835;973
12;491836;973
12;491837;973
12;491838;973
12;491839;973
12;491840;973
12;491841;973
12;491842;973
12;491843;973
12;491844;973
13;462068;973
13;462225;973
13;462242;973
13;462252;973
13;462261;973
13;462263;973
13;462269;973
13;462270;973
13;462271;973
13;462272;973
13;462273;973
13;462274;973
13;462289;973
13;462290;973
13;462291;973
13;462292;973
13;462293;973
13;462294;973
13;462296;973
13;462297;973
13;462298;973
13;462299;973
13;462300;973
13;462301;973
13;462316;973
13;462317;973
13;462318;973
13;462319;973
13;462321;973
13;462330;973
13;462332;973
13;462337;973
13;462338;973
13;462339;973
13;462340;973
13;462341;973
13;462342;973
13;462344;973
13;462345;973
13;462346;973
13;462347;973
13;462349;973
13;462365;973
13;462366;973
13;462367;973
13;462368;973
13;462369;973
13;462371;973
13;462372;973
13;462373;973
13;462374;973
13;462375;973
13;462394;973
13;462397;973
13;462398;973
13;462400;973
13;462401;973
13;462402;973
13;462403;973
13;462406;973
13;462407;973
13;462408;973
13;462409;973
13;462410;973
13;462411;973
13;462412;973
13;462413;973
13;462414;973
13;462415;973
13;462416;973
13;462417;973
13;462418;973
13;462419;973
13;462422;973
13;462423;973
13;462424;973
13;462425;973
13;462426;973
13;462427;973
13;462447;973
13;462448;973
13;462449;973
13;462450;973
13;462451;973
13;462452;973
13;462453;973
14;457074;973
14;463153;973
14;464006;973
14;464009;973
14;464251;973
14;464252;973
14;464253;973
14;464254;973
14;464256;973
14;464257;973
14;464258;973
14;464259;973
14;464260;973
14;464274;973
14;464275;973
14;464276;973
14;464277;973
14;464278;973
14;464296;973
14;464297;973
14;464298;973
14;464299;973
14;464300;973
14;464301;973
14;464302;973
14;464303;973
14;464304;973
14;464305;973
14;464306;973
14;464307;973
14;464308;973
14;464317;973
14;464318;973
14;464319;973
14;464320;973
14;464321;973
14;464323;973
14;464324;973
14;464325;973
14;464326;973
14;464327;973
14;464331;973
14;464332;973
14;464375;973
14;464378;973
14;464388;973
14;464400;973
14;464401;973
14;464402;973
14;464403;973
14;464405;973
14;464406;973
14;464407;973
14;464408;973
14;464410;973
14;464411;973
15;28799;10
15;2078;102
15;14908;108
15;1934;114
15;10997;1
15;18652;121
15;18653;121
15;10560;123
15;8927;125
15;1334;131
15;1354;13
15;9981;133
15;552;137
15;12926;139
15;12927;139
15;16437;144
15;2402;148
15;2410;148
15;30804;149
15;14547;152
15;31042;154
15;17203;156
15;3513;159
15;3526;159
15;3365;162
15;3381;162
15;3383;162
15;1494;164
15;4674;168
15;18207;170
15;11465;176
15;11468;176
15;11548;176
15;11551;176
15;11552;176
15;11554;176
15;2552;178
15;8591;191
15;11511;193
15;7457;198
15;7458;198
15;7466;198
15;15469;201
15;2238;21
15;2269;21
15;1440;214
15;21272;217
15;14289;218
15;14896;236
15;11443;241
15;7537;245
16;6801;246
15;18745;248
15;1663;253
15;1183;256
15;1427;262
15;2134;264
15;8637;274
15;17481;296
15;17484;296
15;8091;300
15;2219;304
15;13777;307
15;13779;307
15;13781;307
15;13783;307
15;12556;310
15;12557;310
15;9143;31
15;3844;312
15;24993;3
15;24998;3
15;12483;322
15;12485;322
15;12487;322
15;12488;322
15;12489;322
15;24816;33
15;11838;335
15;7402;34
15;21039;345
15;21282;35
15;9041;355
15;9042;355
15;9043;355
15;17853;356
15;16330;358
15;16334;358
15;16335;358
15;16336;358
15;16337;358
15;16395;358
15;16396;358
15;1212;359
15;1213;359
16;11310;368
15;12048;369
15;12049;369
15;12051;369
15;9660;371
15;13681;380
15;16510;381
15;16512;381
15;16603;381
15;16606;381
16;6857;394
15;2907;41
15;4777;413
15;4778;413
15;4402;414
15;6950;4
15;4788;421
15;7497;424
15;5728;427
15;5733;427
15;4681;430
15;4776;432
15;5270;433
15;21138;45
15;2794;460
15;1748;474
15;1355;481
15;1356;481
15;2470;488
15;726;495
15;1826;496
15;1853;496
15;1854;496
15;1855;496
15;1860;496
15;31664;5
15;31683;5
15;20122;53
15;20123;53
15;11303;58
15;8533;6
15;8535;6
15;8536;6
15;12739;65
15;32610;72
15;17864;73
15;9728;76
15;11793;79
15;16696;8
15;16697;8
15;11191;89
15;11147;90
15;9130;93
15;14623;97
10;1314862;973
10;1314980;973
10;1314982;973
10;1316266;973
10;1330858;973
10;1330859;973
10;1330860;973
10;1330861;973
10;1330862;973
10;1331271;973
10;1331272;973
10;1331273;973
10;1331274;973
10;1331275;973
10;1331278;973
10;1331279;973
10;1331280;973
10;1331281;973
10;1331282;973
10;1331284;973
10;1331285;973
10;1331286;973
10;1331287;973
10;1331288;973
10;1331340;973
10;1331341;973
10;1331342;973
10;1331349;973
10;1331366;973
10;1331367;973
10;1331368;973
10;1331369;973
10;1331370;973
10;1331371;973
10;1331373;973
10;1331374;973
10;1331375;973
10;1331376;973
10;1331377;973
10;1331378;973
10;1331379;973
10;1331380;973
10;1331381;973
10;1331390;973
10;1331391;973
10;1331392;973
10;1331393;973
10;1331394;973
10;1331395;973
10;1331396;973
10;1331397;973
10;1331398;973
10;1331399;973
10;1331402;973
10;1331403;973
10;1331404;973
10;1331405;973
10;1331406;973
10;1331408;973
10;1331409;973
10;1331410;973
10;1331411;973
10;1331412;973
10;1331414;973
10;1331415;973
10;1331416;973
10;1331417;973
10;1331418;973
10;1331433;973
10;1331435;973
10;1331436;973
10;1331437;973
10;1331438;973
10;1331439;973
10;1331440;973
10;1331441;973
10;1331442;973
10;1331451;973
10;1331452;973
10;1331453;973
10;1331454;973
10;1331455;973
10;1331812;973
10;1331813;973
10;1331814;973
10;1331815;973
10;1331816;973
10;1331854;973
10;1331855;973
10;1331856;973
10;1331857;973
10;1331859;973
10;1331860;973
10;1331861;973
10;1331862;973
10;1331864;973
10;1331865;973
10;1331866;973
10;1331867;973
10;1331874;973
10;1331875;973
10;1331876;973
10;1331877;973
10;1331880;973
10;1331881;973
10;1331882;973
10;1331883;973
10;1331884;973
10;1331885;973
10;1331886;973
10;1331887;973
10;1331890;973
10;1331891;973
10;1331892;973
10;1331893;973
10;1331894;973
10;1331896;973
10;1331897;973
10;1331898;973
10;1331900;973
10;1331901;973
10;1331903;973
10;1331904;973
10;1331905;973
10;1331906;973
10;1331908;973
10;1331909;973
10;1331910;973
10;1331912;973
10;1331913;973
10;1331914;973
10;1331915;973
10;1331918;973
10;1331919;973
10;1331920;973
10;1331921;973
10;1331922;973
10;1331923;973
10;1331926;973
10;1331927;973
10;1331928;973
10;1331929;973
10;1331930;973
10;1331931;973
10;1331932;973
10;1331933;973
10;1331935;973
10;1331936;973
10;1331937;973
10;1331939;973
10;1331941;973
10;1331942;973
10;1331943;973
10;1331944;973
10;1331946;973
10;1331948;973
10;1331949;973
10;1331950;973
10;1331951;973
10;1331953;973
10;1331954;973
10;1331955;973
10;1331956;973
10;1331957;973
10;1331958;973
10;1331959;973
10;1331960;973
10;1331961;973
10;1331964;973
10;1331965;973
10;1331966;973
10;1331967;973
10;1331968;973
10;1331972;973
10;1331973;973
10;1331974;973
10;1331975;973
10;1331976;973
10;1331978;973
10;1331979;973
10;1331980;973
10;1331989;973
10;1331990;973
10;1331991;973
10;1331992;973
10;1331993;973
10;1331994;973
10;1331995;973
10;1331998;973
10;1331999;973
10;1332005;973
10;1332006;973
10;1332007;973
10;1332008;973
10;1332011;973
10;1332012;973
10;1332013;973
10;1332014;973
10;1332015;973
10;1332017;973
10;1332018;973
10;1332019;973
10;1332020;973
10;1332024;973
10;1332025;973
10;1332026;973
10;1332027;973
10;1332028;973
10;1332029;973
10;1332032;973
10;1332033;973
10;1332034;973
10;1332035;973
10;1332036;973
10;1332038;973
10;1332039;973
10;1332040;973
10;1332041;973
10;1332042;973
10;1332043;973
10;1332044;973
10;1332046;973
10;1332047;973
10;1332048;973
10;1332049;973
10;1332050;973
10;1332051;973
10;1332053;973
10;1332054;973
10;1332055;973
10;1332056;973
10;1332057;973
10;1332058;973
10;1332059;973
10;1332060;973
10;1332062;973
10;1332063;973
10;1332064;973
10;1332065;973
10;1332066;973
10;1332067;973
10;1332069;973
10;1332070;973
10;1332071;973
10;1332072;973
10;1332073;973
10;1332075;973
10;1332076;973
10;1332077;973
10;1332078;973
10;1332079;973
10;1332082;973
10;1332083;973
10;1332084;973
10;1332085;973
10;1332087;973
10;1332088;973
10;1332089;973
10;1332090;973
10;1332091;973
10;1332092;973
10;1332094;973
10;1332095;973
10;1332096;973
10;1332097;973
10;1332098;973
10;1332099;973
10;1332100;973
10;1332102;973
10;1332103;973
10;1332104;973
10;1332105;973
10;1332106;973
10;1332108;973
10;1332109;973
10;1332110;973
10;1332111;973
10;1332112;973
10;1332113;973
10;1332115;973
10;1332116;973
10;1332117;973
10;1332118;973
10;1332119;973
10;1332121;973
10;1332122;973
10;1332123;973
10;1332124;973
10;1332125;973
10;1332126;973
10;1332127;973
10;1332128;973
10;1332130;973
10;1332131;973
10;1332133;973
10;1332134;973
10;1332135;973
10;1332136;973
10;1332137;973
10;1332140;973
10;1332141;973
10;1332142;973
10;1332143;973
10;1332144;973
10;1332145;973
10;1332146;973
10;1332147;973
10;1332148;973
10;1332150;973
10;1332151;973
10;1332152;973
10;1332153;973
10;1332154;973
10;1332155;973
10;1332156;973
10;1332163;973
10;1332164;973
10;1332165;973
10;1332167;973
10;1332168;973
10;1332170;973
10;1332171;973
10;1332172;973
10;1332173;973
10;1332174;973
10;1332175;973
10;1332176;973
10;1332178;973
10;1332179;973
10;1332180;973
10;1332181;973
10;1332182;973
10;1332185;973
10;1332186;973
10;1332187;973
10;1332188;973
10;1332189;973
10;1332190;973
10;1332191;973
10;1332193;973
10;1332194;973
10;1332195;973
10;1332196;973
10;1332197;973
10;1332200;973
10;1332201;973
10;1332202;973
10;1332203;973
10;1332204;973
10;1332205;973
10;1332206;973
11;505262;973
11;505263;973
11;505264;973
11;505265;973
11;505266;973
11;505280;973
11;505281;973
11;505282;973
11;505283;973
11;505284;973
11;505286;973
11;505287;973
11;505288;973
11;505289;973
11;505290;973
11;505499;973
11;505500;973
11;505501;973
11;505502;973
11;505503;973
11;505504;973
11;505506;973
11;505507;973
11;505508;973
11;505512;973
11;505513;973
11;505514;973
11;505515;973
11;505516;973
11;505517;973
11;505518;973
11;505519;973
11;505520;973
11;505523;973
11;505524;973
11;505525;973
11;505526;973
11;505534;973
11;505535;973
11;505536;973
11;505537;973
11;505549;973
11;505550;973
11;505551;973
11;505552;973
11;505553;973
11;505554;973
11;505556;973
11;505557;973
11;505558;973
11;505559;973
11;505560;973
11;505562;973
11;505563;973
11;505564;973
11;505565;973
11;505566;973
11;505569;973
11;505570;973
11;505571;973
11;505572;973
11;505573;973
11;505574;973
11;505575;973
11;505576;973
11;505577;973
11;505578;973
11;505579;973
11;505580;973
11;505582;973
11;505583;973
11;505584;973
11;505585;973
11;505586;973
11;505587;973
11;505589;973
11;505590;973
11;505591;973
11;505592;973
11;505593;973
11;505596;973
11;505597;973
11;505598;973
11;505599;973
11;505600;973
11;505601;973
11;505603;973
11;505604;973
11;505605;973
11;505606;973
11;505607;973
11;505608;973
11;505610;973
11;505611;973
11;505612;973
11;505613;973
11;505615;973
11;505616;973
11;505617;973
11;505618;973
11;505619;973
11;505620;973
11;505622;973
11;505623;973
11;505624;973
11;505625;973
11;505626;973
11;505628;973
11;505630;973
11;505631;973
11;505632;973
11;505635;973
11;505636;973
11;505637;973
11;505638;973
11;505639;973
11;505640;973
11;505641;973
11;505644;973
11;505645;973
11;505646;973
11;505647;973
11;505648;973
11;505649;973
11;505650;973
11;505651;973
11;505652;973
11;505653;973
11;505654;973
11;505655;973
11;505656;973
11;505657;973
11;505658;973
11;505659;973
11;505661;973
11;505662;973
11;505664;973
11;505665;973
11;505666;973
11;505667;973
11;505668;973
11;505669;973
11;505670;973
11;505671;973
11;505674;973
11;505675;973
11;505676;973
11;505677;973
11;505678;973
11;505679;973
11;505680;973
11;505682;973
11;505683;973
