487;530;010754
487;530;010756
487;530;010757
479;530;010386
480;510;010557
458;530;009651
461;520;010293
405;510;023341
498;510;010527
494;520;010513
494;510;010491
494;530;010471
427;530;006896
427;530;006897
427;520;012844
427;520;012843
415;530;013884
416;520;006946
416;530;005177
422;510;012793
422;520;010240
424;530;024111
424;530;024110
397;520;016701
397;520;016704
452;550;010085
452;560;010063
452;550;010086
452;550;010087
453;530;010962
453;530;010963
453;530;010964
453;530;010960
453;530;010961
453;520;011066
453;520;011067
433;520;009620
434;520;009506
428;530;010370
428;510;013761
428;510;013762
428;510;013763
428;510;013764
442;530;010100
446;510;010568
430;540;012356
432;530;010541
432;530;010540
438;510;009658
438;510;009659
464;520;011233
455;510;016682
456;510;013130
456;510;013131
413;520;013552
410;520;008115
394;520;022769
394;520;022770
399;510;019679
399;520;019068
399;520;019069
399;520;019070
376;530;003297
376;530;003298
375;520;009997
375;510;013308
375;530;004952
375;530;004951
375;520;010001
391;510;009642
397;520;016702
397;520;016703
398;510;011304
398;510;011305
403;510;018486
403;510;018487
403;510;018485
400;520;014212
400;520;014209
400;520;014210
400;520;014211
400;520;014213
411;530;023081
412;530;012587
390;520;016794
390;520;016795
395;530;011148
380;520;014306
380;520;014307
380;520;014308
395;530;011147
395;530;011149
395;530;011150
395;530;011151
395;530;011152
394;520;022774
394;520;022775
394;520;022771
394;520;022772
394;520;022773
394;520;022776
394;520;022777
382;530;011582
382;530;011583
378;530;006237
365;530;010810
366;520;008422
374;570;022536
384;510;009499
368;540;007063
368;540;007064
368;550;026093
368;560;028714
368;560;028713
369;530;012631
389;520;023479
389;510;025733
371;520;006176
371;530;002407
360;530;002710
360;520;008716
363;530;009225
363;510;007822
384;510;009498
384;510;009500
402;560;008558
357;530;016072
404;530;018591
404;530;018589
404;530;018590
404;520;017142
404;520;017144
357;530;016073
357;520;024789
357;520;024790
357;530;016074
404;520;017143
375;520;009998
375;520;009999
375;520;010000
376;520;006239
376;520;006241
376;530;003296
376;520;006240
390;520;016793
390;530;011729
390;520;016796
382;520;013614
384;510;009501
399;520;019064
399;520;019065
399;510;019678
399;520;019061
399;520;019062
399;520;019063
399;520;019066
399;520;019067
399;510;019680
399;510;019681
399;510;019682
363;520;012486
364;530;012973
385;510;004001
385;510;004002
386;510;006729
323;510;013009
323;510;013010
323;530;006110
323;530;006111
323;530;006112
326;510;021266
331;510;017160
331;510;017161
331;510;017162
331;510;017164
331;530;028886
331;510;017165
331;520;010284
336;540;012919
336;540;012920
336;550;018867
336;550;018868
338;520;009658
338;520;009659
338;520;009660
338;570;020218
342;520;007861
339;530;012948
335;530;017004
335;530;017005
335;530;017003
335;520;011340
329;530;010049
329;530;010048
329;530;010050
331;510;017163
330;510;014419
330;510;014420
330;520;003808
326;530;007675
327;520;008942
303;530;021933
303;510;005886
303;530;021932
303;510;005885
323;510;013008
323;510;013011
323;510;013012
310;510;010910
318;530;018327
332;510;016929
332;520;019430
334;510;018129
314;510;002978
316;530;020891
313;510;019162
353;530;004948
356;510;011411
319;530;012495
319;510;026845
319;530;012496
319;530;012494
344;530;012118
344;520;007359
351;580;046985
351;580;046987
351;580;046988
351;580;046989
355;530;010194
355;530;010195
316;530;020892
316;510;007374
349;520;036570
346;510;010231
344;530;012116
344;530;012117
302;510;009634
302;520;014792
348;550;029535
348;550;029536
320;530;007388
320;530;007387
320;530;007389
351;580;046986
316;510;007372
316;510;007373
316;520;017228
317;510;008440
317;530;010299
317;510;008441
294;520;006027
296;540;005918
296;540;005919
296;510;014862
297;530;007075
297;520;009949
297;520;009948
293;520;019482
293;520;019483
293;510;019192
296;510;014861
296;540;005917
296;540;005920
296;540;005921
271;520;013573
272;510;017851
272;510;017852
300;530;009047
300;530;009048
300;520;013367
300;520;013368
300;520;013369
300;520;013370
301;520;015968
298;530;022372
298;530;022373
298;530;022374
298;510;009679
298;530;022375
298;530;022376
298;530;022377
301;520;015966
301;530;012401
301;520;015969
301;530;012402
301;530;012403
301;520;015967
292;520;028918
287;520;010052
268;510;010124
276;540;019515
278;530;006381
274;520;017620
281;530;017105
282;520;008862
282;520;008863
279;510;005412
292;520;028917
292;510;019450
263;530;021315
263;520;013837
263;530;021314
270;510;009938
271;530;020814
254;520;080006
269;510;027190
269;510;027191
269;530;040484
269;530;040485
269;510;027187
269;510;027192
269;530;040486
269;510;027188
269;510;027189
254;530;090511
252;510;026423
252;510;026424
256;520;010523
256;530;010457
255;510;011639
255;520;010068
255;520;010069
256;520;010524
256;520;010522
281;530;017106
284;510;009345
284;510;009344
285;530;018311
285;510;006223
285;510;006224
285;520;019089
285;540;015941
259;510;007184
255;530;013832
275;520;017736
275;520;017737
275;520;017738
251;510;010051
252;510;026422
011;520;020080
011;520;020081
011;510;014895
011;510;014896
011;510;014897
011;510;014898
011;510;014899
011;510;014900
011;510;014901
011;520;020079
012;520;010331
012;520;010332
012;520;010330
014;510;007533
014;510;007534
014;510;007535
014;540;016814
014;530;018335
014;530;018336
014;510;007536
014;520;014437
016;510;010275
018;540;005463
018;540;005464
019;520;010582
019;510;010519
020;510;009636
020;530;016629
020;510;009634
020;510;009635
020;510;009632
020;530;016627
020;510;009633
020;530;016628
021;530;007577
022;540;012581
022;520;026155
022;520;026156
022;540;012578
022;520;026157
022;520;026158
022;540;012579
022;520;026159
022;540;012580
023;530;021492
023;510;007091
023;510;007084
023;510;007085
023;510;007086
023;510;007087
023;510;007088
023;530;021491
023;510;007089
023;510;007090
025;530;010058
025;510;028157
025;510;028158
025;530;010056
025;510;028159
025;530;010057
026;540;019190
026;540;019189
026;540;019191
026;540;019192
026;550;008471
026;530;022877
026;520;027666
026;530;022878
026;520;027667
026;520;027668
026;520;027669
026;510;024141
026;510;024142
026;510;024143
026;520;027670
026;530;022879
026;510;024144
028;530;019382
028;540;015985
028;540;015986
028;540;015987
028;540;015988
028;530;019379
028;530;019380
028;510;016316
028;540;015989
028;530;019381
028;510;016317
031;530;019796
031;540;022036
031;530;019797
031;540;022037
031;540;022038
031;530;019798
031;540;022039
031;530;019799
031;520;022364
032;540;016113
032;540;016112
032;530;020890
032;520;028411
032;520;028412
032;520;028413
032;540;016111
033;520;013364
033;520;013363
033;510;022558
033;510;022559
033;540;013238
034;520;023434
034;520;023435
034;520;023436
034;520;023437
034;530;017842
034;530;017843
035;510;034320
035;510;034317
035;510;034318
035;510;034319
035;530;024267
035;530;024268
035;530;024269
035;530;024270
035;520;034321
035;520;034322
035;520;034323
036;520;009130
037;510;012116
037;510;012117
037;520;011037
037;510;012118
038;510;010285
038;520;010323
038;520;010324
038;510;010284
039;510;023241
039;510;023242
039;530;031053
039;510;023240
039;530;031054
039;530;031055
040;530;027423
040;540;035477
040;520;035569
040;520;035564
040;520;035565
040;540;035473
040;540;035474
040;540;035475
040;520;035566
040;520;035567
040;530;027417
040;530;027418
040;530;027419
040;530;027420
040;540;035476
040;520;035568
040;530;027421
040;530;027422
046;540;029341
046;540;029342
043;510;013603
059;510;014305
059;510;014306
059;520;015397
060;510;010168
060;510;010169
044;540;016685
044;540;016686
044;530;015847
045;520;016565
045;520;016566
045;510;018107
050;530;006574
050;510;020277
050;530;006572
050;530;006573
069;530;021952
047;530;047805
047;510;027872
047;510;027873
047;510;027874
047;510;027875
047;510;027876
047;510;027877
047;510;027878
047;510;027879
047;510;027880
047;510;027881
047;530;047806
047;530;047807
047;530;047808
047;530;047809
047;520;042957
047;510;027882
047;510;027883
047;530;047810
047;530;047811
047;510;027884
047;520;042958
047;530;047812
047;520;042959
047;520;042960
047;530;047813
047;530;047814
046;540;029333
046;540;029334
046;540;029335
046;550;010237
046;550;010238
046;550;010239
046;550;010240
046;540;029336
046;550;010241
046;540;029337
046;550;010242
046;550;010243
046;540;029338
046;540;029339
046;540;029340
051;530;027253
051;530;027254
051;530;027255
051;510;017312
051;530;027256
051;510;017313
046;550;010244
046;550;010245
046;550;010246
053;520;031038
053;520;031039
